wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
614,르,Noun,25
615,피크닉,Noun,25
616,콜마르,Noun,25
617,잔,Noun,25
618,그거,Noun,24
619,보면서,Verb,24
620,이었고,Verb,24
621,명품,Noun,24
622,흰,Adjective,24
623,아니면,Adjective,24
624,상황,Noun,24
625,했더니,Verb,24
626,있음,Adjective,24
627,완전,Noun,24
628,장소,Noun,24
629,가시는,Verb,24
630,그때,Noun,24
631,금액,Noun,24
632,프랑스어,Noun,24
633,존,Noun,24
634,오고,Verb,24
635,샤워,Noun,24
636,밥,Noun,24
637,추워요,Adjective,24
638,가고,Verb,24
639,환승,Noun,24
640,팩,Noun,24
641,유심,Noun,24
642,네이버,Noun,24
643,여권,Noun,24
644,하실,Verb,24
645,자주,Noun,24
646,스위스,Noun,24
647,로댕,Noun,23
648,열차,Noun,23
649,워낙,Noun,23
650,먹는,Verb,23
651,무,Noun,23
652,걸어서,Verb,23
653,서,Verb,23
654,메트로,Noun,23
655,검사,Noun,23
656,탔는데,Verb,23
657,흑인,Noun,23
658,주머니,Noun,23
659,표시,Noun,23
660,쿠폰,Noun,23
661,다녀왔습니다,Verb,23
662,까르,Noun,23
663,풀,Noun,23
664,위해,Noun,23
665,수화물,Noun,23
666,달,Noun,23
667,하려고,Verb,23
668,누가,Noun,23
669,숙박,Noun,23
670,맛있어요,Adjective,23
671,트,Noun,23
672,트래블,Noun,23
673,있을,Adjective,23
674,했네요,Verb,23
675,일요일,Noun,23
676,이었는데,Verb,23
677,좋았던,Adjective,22
678,왔는데,Verb,22
679,결론,Noun,22
680,방향,Noun,22
681,인사,Noun,22
682,전망대,Noun,22
683,싶었는데,Verb,22
684,타임,Noun,22
685,입,Noun,22
686,자동,Noun,22
687,기본,Noun,22
688,오픈,Noun,22
689,않아서,Verb,22
690,먹었습니다,Verb,22
691,금방,Noun,22
692,항공,Noun,22
693,샤넬,Noun,22
694,좋습니다,Adjective,22
695,보시,Noun,22
696,스트라스부르,Noun,22
697,음료,Noun,22
698,봐요,Verb,22
699,왼쪽,Noun,22
700,아무,Noun,22
701,시차,Noun,21
702,적어,Verb,21
703,휴대폰,Noun,21
704,노트르담,Noun,21
705,관광객,Noun,21
706,첫,Noun,21
707,자기,Noun,21
708,건물,Noun,21
709,치즈,Noun,21
710,디올,Noun,21
711,사고,Noun,21
712,그게,Noun,21
713,하니까,Verb,21
714,리,Noun,21
715,없었고,Adjective,21
716,가야,Noun,21
717,차,Noun,21
718,충전,Noun,21
719,정상,Noun,21
720,되고,Verb,21
721,같아,Adjective,21
722,남겨,Verb,21
723,냄새,Noun,21
724,바랍니다,Verb,21
725,통과,Noun,21
726,주고,Verb,21
727,마을,Noun,21
728,추위,Noun,21
729,하며,Verb,21
730,이름,Noun,21
731,지도,Noun,21
732,트램,Noun,21
733,트러플,Noun,21
734,이틀,Noun,21
735,에어프랑스,Noun,21
736,왔어요,Verb,21
737,안내,Noun,21
738,술,Noun,21
739,에코,Noun,21
740,한국어,Noun,21
741,예쁜,Adjective,21
742,열심히,Adverb,21
743,오는,Verb,21
744,이건,Noun,21
745,관심,Noun,21
746,수준,Noun,20
747,서서,Noun,20
748,어떻게,Adjective,20
749,골목,Noun,20
750,무슨,Noun,20
751,강,Noun,20
752,실내,Noun,20
753,아니고,Adjective,20
754,산책,Noun,20
755,파스타,Noun,20
756,받아서,Verb,20
757,퐁피두,Noun,20
758,옵션,Noun,20
759,첫날,Noun,20
760,느낀,Verb,20
761,적,Noun,20
762,심지어,Noun,20
763,루미,Noun,20
764,하다가,Verb,20
765,정,Noun,20
766,전날,Noun,20
767,아저씨,Noun,20
768,챙겨,Verb,20
769,지퍼,Noun,20
770,빵집,Noun,20
771,라면,Noun,20
772,통해,Noun,20
773,초,Noun,20
774,스냅,Noun,20
775,하여,Verb,20
776,관련,Noun,20
777,크레페,Noun,20
778,병,Noun,20
779,택스리펀,Noun,20
780,풍경,Noun,20
781,예,Noun,20
782,짜리,Verb,20
783,다이소,Noun,19
784,끼,Noun,19
785,내려서,Verb,19
786,내용,Noun,19
787,맛있는,Adjective,19
788,포기,Noun,19
789,폰,Noun,19
790,넣고,Verb,19
791,크로스,Noun,19
792,조식,Noun,19
793,관,Noun,19
794,가성,Noun,19
795,적응,Noun,19
796,노선,Noun,19
797,식,Noun,19
798,먹은,Verb,19
799,엄마,Noun,19
800,흑,Adverb,19
801,다녀온,Verb,19
802,우선,Noun,19
803,걸어,Verb,19
804,단,Noun,19
805,그럼,Adjective,19
806,스타,Noun,19
807,봤어요,Verb,19
808,예상,Noun,19
809,간식,Noun,19
810,대충,Noun,19
811,잠깐,Noun,19
812,보다,Verb,19
813,같음,Adjective,19
814,목,Noun,19
815,센터,Noun,19
816,보관,Noun,19
817,동선,Noun,19
818,별,Noun,19
819,동양인,Noun,19
820,자진,Noun,19
821,서는,Verb,19
822,감축,Noun,19
823,지역,Noun,19
824,감,Noun,19
825,없음,Adjective,18
826,최대한,Noun,18
827,덕분,Noun,18
828,요즘,Noun,18
829,향,Noun,18
830,들어갈,Verb,18
831,하더라고요,Verb,18
832,세트,Noun,18
833,스트랩,Noun,18
834,없어요,Adjective,18
835,도로,Noun,18
836,오면,Verb,18
837,있어,Adjective,18
838,종일,Noun,18
839,니,Noun,18
840,핫팩,Noun,18
841,늦게,Verb,18
842,여행객,Noun,18
843,동네,Noun,18
844,않는,Verb,18
845,샀는데,Verb,18
846,쏘,Verb,18
847,겨울,Noun,18
848,화이트,Noun,18
849,네이션,Noun,18
850,인터넷,Noun,18
851,야간,Noun,18
852,지하,Noun,18
853,은근,Noun,18
854,쌀국수,Noun,18
855,사전예약,Noun,18
856,제대로,Noun,18
857,몽마르트,Noun,18
858,편하게,Adjective,18
859,되었어요,Verb,18
860,유료,Noun,18
861,은,Noun,18
862,남자,Noun,18
863,기온,Noun,18
864,에어비앤비,Noun,18
865,대,Verb,18
866,체력,Noun,18
867,아무래도,Adverb,18
868,봐서,Verb,18
869,왕복,Noun,17
870,종류,Noun,17
871,전체,Noun,17
872,운,Noun,17
873,피,Noun,17
874,나오는,Verb,17
875,인생,Noun,17
876,긴장,Noun,17
877,시장,Noun,17
878,가끔,Noun,17
879,비교,Noun,17
880,프랑스인,Noun,17
881,려고,Noun,17
882,오를리,Verb,17
883,조심,Noun,17
884,하시길,Verb,17
885,나라,Noun,17
886,미니,Noun,17
887,자마자,Noun,17
888,김치찌개,Noun,17
889,돼서,Verb,17
890,심,Noun,17
891,화질,Noun,17
892,회,Noun,17
893,나머지,Noun,17
894,마르세유,Noun,17
895,싶은,Verb,17
896,비용,Noun,17
897,없지만,Adjective,17
898,대중교통,Noun,17
899,나왔어요,Verb,17
900,평점,Noun,17
901,원,Noun,17
902,봤습니다,Verb,17
