b_wordcnt.no,b_wordcnt.content,b_wordcnt.mor,b_wordcnt.cnt
687,자고,Noun,1
688,민박,Noun,1
689,끼니,Noun,1
690,바지,Noun,1
691,시기,Noun,1
692,열,Noun,1
693,시내버스,Noun,1
694,열차,Noun,1
695,영,Noun,1
696,바이,Noun,1
697,바스,Noun,1
698,시즌,Noun,1
699,꽉,Noun,1
700,바리,Noun,1
701,전시관,Noun,1
702,식,Noun,1
703,꼬,Noun,1
704,영업,Noun,1
705,식이,Noun,1
706,영향,Noun,1
707,영화관,Noun,1
708,바깥,Noun,1
709,신분증,Noun,1
710,유의,Noun,1
711,신용카드,Noun,1
712,카탈,Noun,1
713,옆,Noun,1
714,카타르항공,Noun,1
715,카이로,Noun,1
716,실망,Noun,1
717,실외,Noun,1
718,심사,Noun,1
719,심야시간,Noun,1
720,십자가,Noun,1
721,간판,Noun,1
722,카메라,Noun,1
723,까뇨,Noun,1
724,날씨예보,Noun,1
725,카르멘,Noun,1
726,예보,Noun,1
727,길,Noun,1
728,바다,Noun,1
729,간이,Noun,1
730,내내,Noun,1
731,카니발,Noun,1
732,긴급,Noun,1
733,내야,Noun,1
734,기타,Noun,1
735,낼,Noun,1
736,간식,Noun,1
737,카,Noun,1
738,네덜란드,Noun,1
739,기준,Noun,1
740,넷,Noun,1
741,기존,Noun,1
742,노래방,Noun,1
743,놀,Noun,1
744,옛날,Noun,1
745,기생충,Noun,1
746,누깜프,Noun,1
747,오,Modifier,1
748,뉴,Noun,1
749,느낌,Noun,1
750,니,Noun,1
751,전문가,Noun,1
752,님스,Noun,1
753,치기,Noun,1
754,일대,Noun,1
755,다이닝,Noun,1
756,단계,Noun,1
757,단기,Noun,1
758,유효,Noun,1
759,달리,Noun,1
760,달이,Noun,1
761,전망,Noun,1
762,치,Noun,1
763,당분간,Noun,1
764,융프라우,Noun,1
765,기내,Noun,1
766,당장,Noun,1
767,당황,Noun,1
768,대구,Noun,1
769,대부분,Noun,1
770,오버,Noun,1
771,오시,Noun,1
772,기,Modifier,1
773,층,Noun,1
774,츄레리,Noun,1
775,취향,Noun,1
776,대형,Noun,1
777,금일,Noun,1
778,더위,Noun,1
779,오신,Noun,1
780,덜,Noun,1
781,금,Noun,1
782,데모,Noun,1
783,데이,Noun,1
784,덴,Noun,1
785,글,Noun,1
786,극장,Noun,1
787,도록,Noun,1
788,도르트문트,Noun,1
789,극성,Noun,1
790,도심,Noun,1
791,그린,Noun,1
792,그레이엄,Noun,1
793,도하,Noun,1
794,독립,Noun,1
795,각종,Noun,1
796,취리히,Noun,1
797,동,Modifier,1
798,동네,Noun,1
799,동물원,Noun,1
800,동반,Noun,1
801,춤,Noun,1
802,동선,Noun,1
803,동시,Noun,1
804,그때,Noun,1
805,동유럽,Noun,1
806,출시,Noun,1
807,돼지,Noun,1
808,축구장,Noun,1
809,두브로브니크,Noun,1
810,그대로,Noun,1
811,둘째,Noun,1
812,드립,Noun,1
813,듯,Noun,1
814,이브,Noun,1
815,등급,Noun,1
816,등등,Noun,1
817,디,Noun,1
818,그날,Noun,1
819,디즈니,Noun,1
820,딜레,Noun,1
821,그,Noun,1
822,추석,Noun,1
823,땜,Noun,1
824,추로스,Noun,1
825,라니아,Noun,1
826,규정,Noun,1
827,일차,Noun,1
828,최고,Noun,1
829,촬영,Noun,1
830,이디엄,Noun,1
831,라운지,Noun,1
832,라이,Noun,1
833,라이브,Noun,1
834,라커룸,Noun,1
835,오피,Noun,1
836,랄,Noun,1
837,람,Noun,1
838,음성,Noun,1
839,일출,Noun,1
840,레고,Noun,1
841,총알,Noun,1
842,레슨,Noun,1
843,레알,Noun,1
844,군사,Noun,1
845,레트,Noun,1
846,임산부,Noun,1
847,렌털할만,Noun,1
848,군데,Noun,1
849,렐라,Noun,1
850,려고,Noun,1
851,국화,Noun,1
852,로셀론,Noun,1
853,옥토버,Noun,1
854,로이,Noun,1
855,국제우편,Noun,1
856,임시,Noun,1
857,론다,Noun,1
858,롤라,Noun,1
859,온도,Noun,1
860,루스,Noun,1
861,루이비통,Noun,1
862,루체른,Noun,1
863,루트,Noun,1
864,온라인,Noun,1
865,총선,Noun,1
866,리버풀,Noun,1
867,올,Modifier,1
868,국왕컵,Noun,1
869,총,Modifier,1
870,리옹,Noun,1
871,리턴,Noun,1
872,리폰,Noun,1
873,국기,Noun,1
874,초보자,Noun,1
875,마구,Noun,1
876,올리브,Noun,1
877,국경일,Noun,1
878,마레,Noun,1
879,초보,Noun,1
880,마르세유,Noun,1
881,마법,Noun,1
882,마비,Noun,1
883,마사지,Noun,1
884,마스,Noun,1
885,초록색,Noun,1
886,마스터카드,Noun,1
887,국가,Noun,1
888,올리브오일,Noun,1
889,국,Noun,1
890,청소년,Noun,1
891,올해,Noun,1
892,막,Noun,1
893,가츠,Noun,1
894,만,Modifier,1
895,구합,Noun,1
896,만원,Noun,1
897,청소,Noun,1
898,구입,Noun,1
899,첫날,Noun,1
900,구로,Noun,1
901,망고,Noun,1
902,전동,Noun,1
903,구글맵,Noun,1
904,일박,Noun,1
905,매진,Noun,1
906,맥주,Noun,1
907,맨유전,Noun,1
908,이상,Noun,1
909,천둥,Noun,1
910,캄누,Noun,1
911,캄푸,Noun,1
912,교환학생,Noun,1
913,처,Noun,1
914,적,Noun,1
915,캐비,Noun,1
916,캔,Noun,1
917,와인,Noun,1
918,완치,Noun,1
919,저학년,Noun,1
920,커피,Noun,1
921,케이블,Noun,1
922,교통체증,Noun,1
923,저택,Noun,1
924,켜,Noun,1
925,찬,Noun,1
926,코너,Noun,1
927,교통상황,Noun,1
928,착용,Noun,1
929,왜인,Noun,1
930,콘택트,Noun,1
931,관할,Noun,1
932,차이점,Noun,1
933,콤보,Noun,1
934,콰트로,Noun,1
935,쿠폰,Noun,1
936,크기,Noun,1
937,크루즈,Noun,1
938,관전,Noun,1
939,클라시코,Noun,1
940,관심,Noun,1
941,저녁때,Noun,1
942,킹스컵,Noun,1
943,음식점,Noun,1
944,외부,Noun,1
945,차량,Noun,1
946,타나,Noun,1
947,이세,Noun,1
948,타임,Noun,1
949,타입,Noun,1
950,외투,Noun,1
951,탄생,Noun,1
952,관리,Noun,1
953,탈수,Noun,1
954,가나,Noun,1
955,탑바,Noun,1
956,탑승,Noun,1
957,이센스,Noun,1
958,쮜,Noun,1
959,과,Noun,1
960,집회,Noun,1
961,공항철도,Noun,1
962,터,Noun,1
963,공포증,Noun,1
964,텀블러,Noun,1
965,텅텅,Noun,1
966,집결,Noun,1
967,이야기,Noun,1
968,테드,Noun,1
969,요,Modifier,1
970,이오,Noun,1
971,텍스,Noun,1
972,진료,Noun,1
973,토니,Noun,1
974,토레스,Noun,1
975,토리노,Noun,1
976,직항,Noun,1
977,직원,Noun,1
978,토시,Noun,1
979,공연장,Noun,1
980,톨,Noun,1
981,톨레도,Noun,1
982,통,Noun,1
983,통금,Noun,1
984,가죽공예,Noun,1
985,통행금지,Noun,1
986,투스,Noun,1
987,이요,Noun,1
988,입국심사,Noun,1
989,이전,Noun,1
990,이집트,Noun,1
991,트랙,Noun,1
992,트러플,Noun,1
993,일간,Noun,1
994,틀,Noun,1
995,티,Noun,1
996,의류,Noun,1
997,티비,Noun,1
998,공,Modifier,1
999,요리,Noun,1
1000,티켓팅,Noun,1
1001,입문,Noun,1
1002,고지,Noun,1
1003,파란,Noun,1
1004,고양이,Noun,1
1005,파밀,Noun,1
1006,파사드,Noun,1
1007,파손,Noun,1
1008,파이,Noun,1
1009,파크,Noun,1
1010,판매,Noun,1
1011,판초,Noun,1
1012,판타스,Noun,1
1013,팔,Noun,1
1014,요일,Noun,1
1015,지각,Noun,1
1016,패밀리,Noun,1
1017,중인,Noun,1
1018,패스트,Noun,1
1019,패스트푸드,Noun,1
1020,고비,Noun,1
1021,재미,Noun,1
1022,고딩,Noun,1
1023,페리,Noun,1
1024,고견,Noun,1
1025,편이,Noun,1
1026,평일,Noun,1
1027,평행봉,Noun,1
1028,폐장,Noun,1
1029,포기,Noun,1
1030,중이,Noun,1
1031,계시,Noun,1
1032,용,Noun,1
1033,포르투나,Noun,1
1034,포르트,Noun,1
1035,포텐,Noun,1
1036,용법,Noun,1
1037,계산,Noun,1
1038,중국,Noun,1
1039,인간탑,Noun,1
1040,준,Noun,1
1041,표시,Noun,1
1042,풋살,Noun,1
1043,프라다,Noun,1
1044,프라이,Noun,1
1045,경찰,Noun,1
1046,경전철,Noun,1
1047,주의보,Noun,1
1048,프레,Noun,1
1049,프로,Noun,1
1050,경우,Noun,1
1051,경보,Noun,1
1052,플라밍고,Noun,1
1053,플리,Noun,1
1054,입성,Noun,1
1055,우기,Noun,1
1056,피부,Noun,1
1057,경량,Noun,1
1058,피탈,Noun,1
1059,핀,Noun,1
1060,의무,Noun,1
1061,주의,Noun,1
1062,주요,Noun,1
1063,주관,Noun,1
1064,가능성,Noun,1
1065,주간,Noun,1
1066,자유시간,Noun,1
1067,하이엔드,Noun,1
1068,하필,Noun,1
1069,학생,Noun,1
1070,한,Modifier,1
1071,인상,Noun,1
1072,한국인,Noun,1
1073,한글,Noun,1
1074,한마디,Noun,1
1075,우천,Noun,1
1076,한식당,Noun,1
1077,한여름,Noun,1
1078,결재,Noun,1
1079,할렘,Noun,1
1080,좌절,Noun,1
1081,함,Noun,1
1082,우회,Noun,1
1083,재,Noun,1
1084,좌석,Noun,1
1085,인생,Noun,1
1086,항공권,Noun,1
1087,조카,Noun,1
1088,항행,Noun,1
1089,결과,Noun,1
1090,해결,Noun,1
1091,해도,Noun,1
1092,견해,Noun,1
1093,인식,Noun,1
1094,해외여행,Noun,1
1095,잡기,Noun,1
1096,워킹,Noun,1
1097,행,Noun,1
1098,격화,Noun,1
1099,허니문,Noun,1
1100,헤어스프레이,Noun,1
1101,조안,Noun,1
1102,헹켈,Noun,1
1103,현,Noun,1
1104,조깅,Noun,1
1105,조금,Noun,1
1106,젠,Noun,1
1107,게이,Noun,1
1108,원,Noun,1
1109,호우,Noun,1
1110,겁,Noun,1
1111,혹,Noun,1
1112,검색,Noun,1
1113,혼,Noun,1
1114,잠깐,Noun,1
1115,홀,Noun,1
1116,홀로,Noun,1
1117,제품,Noun,1
1118,홍보,Noun,1
1119,홍수,Noun,1
1120,화,Noun,1
1121,화요일,Noun,1
1122,화장,Noun,1
1123,화장실,Noun,1
1124,제약,Noun,1
1125,환급,Noun,1
1126,인정,Noun,1
1127,제과제빵,Noun,1
1128,환전소,Noun,1
1129,활동,Noun,1
1130,제,Modifier,1
1131,회사,Noun,1
1132,회색,Noun,1
1133,횟수,Noun,1
1134,원일,Noun,1
1135,후기,Noun,1
1136,작성,Noun,1
1137,후회,Noun,1
1138,휑,Noun,1
1139,정품,Noun,1
1140,가세,Noun,1
1141,휴일,Noun,1
1142,흥정,Noun,1
1143,거품,Noun,1
1144,힙색,Noun,1
1145,아기,Noun,1
1146,아들,Noun,1
1147,아래쪽,Noun,1
1148,아마,Noun,1
1149,아무,Modifier,1
1150,아버지,Noun,1
1151,아부다비,Noun,1
1152,월넷,Noun,1
1153,정상,Noun,1
1154,아웃렛,Noun,1
1155,인천공항,Noun,1
1156,갤러리,Noun,1
1157,아트,Noun,1
1158,아티,Noun,1
1159,객실,Noun,1
1160,안티,Noun,1
1161,개장,Noun,1
1162,작동,Noun,1
1163,앞,Noun,1
1164,애니,Noun,1
1165,애플스토어,Noun,1
1166,액,Noun,1
1167,액체,Noun,1
1168,이내,Noun,1
1169,자의,Noun,1
1170,야외,Noun,1
1171,양털,Noun,1
1172,개시,Noun,1
1173,개성,Noun,1
1174,어딘,Noun,1
1175,개선문,Noun,1
1176,어떳,Noun,1
1177,정리,Noun,1
1178,어제,Noun,1
1179,자,Noun,1
1180,가두,Noun,1
1181,위,Noun,1
1182,개념,Noun,1
1183,얼,Noun,1
1184,얼굴,Noun,1
1185,얼마,Noun,1
1186,정,Noun,1
1187,엄마,Noun,1
1188,업체,Noun,1
1189,일수,Noun,1
1190,일송,Noun,1
