wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
946,점심,Noun,3
947,비용,Noun,3
948,금지,Noun,3
949,르프,Noun,3
950,로커,Noun,3
951,추가,Noun,3
952,블루,Noun,3
953,추운가요,Verb,3
954,루체른,Noun,3
955,추울까,Verb,3
956,가보셨나요,Verb,3
957,많을까요,Adjective,3
958,올,Verb,3
959,크룩,Noun,3
960,출국,Noun,3
961,출발,Noun,3
962,불,Noun,3
963,아닌가요,Adjective,3
964,열까,Verb,3
965,아닌,Adjective,3
966,필하,Verb,3
967,기념품,Noun,3
968,썰매,Noun,3
969,아부다비,Noun,3
970,아비뇽,Noun,3
971,아스널,Noun,3
972,테네리페,Noun,3
973,아시나요,Verb,3
974,아우슈비츠,Noun,3
975,싶어요,Verb,3
976,카사,Verb,3
977,아웃렛,Noun,3
978,아이스링크,Noun,3
979,헬싱키,Noun,3
980,월요일,Noun,3
981,예보,Noun,3
982,피카딜리,Noun,3
983,나이,Noun,3
984,나이프,Noun,3
985,카운트,Noun,3
986,신년,Noun,3
987,위,Noun,3
988,까,Verb,3
989,피카,Noun,3
990,별장,Noun,3
991,위키드,Noun,3
992,날짜,Noun,3
993,제네바,Noun,3
994,내릴,Verb,3
995,프리,Noun,3
996,베드로,Noun,3
997,유니폼,Noun,3
998,포터,Noun,3
999,판매,Noun,3
1000,판도,Noun,3
1001,베,Noun,3
1002,폴,Noun,3
1003,닉,Noun,3
1004,원래,Noun,3
1005,건물,Noun,3
1006,백화점,Noun,3
1007,유명,Noun,3
1008,퐁피두,Noun,3
1009,다른,Noun,3
1010,프라이,Noun,3
1011,가,Verb,2
1012,가고,Verb,2
1013,가능한지요,Adjective,2
1014,가방,Noun,2
1015,가보고,Verb,2
1016,가봐라,Verb,2
1017,가셨던,Verb,2
1018,감사하겠습니다,Verb,2
1019,강,Noun,2
1020,같이,Adverb,2
1021,개관,Noun,2
1022,개시,Noun,2
1023,개장,Noun,2
1024,거점,Noun,2
1025,걱정,Noun,2
1026,건지,Verb,2
1027,걸리는,Verb,2
1028,걸어,Verb,2
1029,걸어서,Verb,2
1030,검색,Noun,2
1031,계단,Noun,2
1032,고딕,Noun,2
1033,교대,Noun,2
1034,구글맵,Noun,2
1035,구해,Noun,2
1036,국회의사당,Noun,2
1037,군,Noun,2
1038,궁금,Noun,2
1039,그날,Noun,2
1040,근위병,Noun,2
1041,급진,Noun,2
1042,급하게,Adjective,2
1043,급함,Adjective,2
1044,급합니다,Adjective,2
1045,급해요,Adjective,2
1046,기준,Noun,2
1047,기차역,Noun,2
1048,길거리,Noun,2
1049,길겐,Noun,2
1050,길까,Verb,2
1051,로맨틱,Noun,2
1052,로스트,Noun,2
1053,로카,Noun,2
1054,로카곶,Noun,2
1055,로프,Noun,2
1056,롤링,Noun,2
1057,루마니아,Noun,2
1058,루치아,Noun,2
1059,리버,Noun,2
1060,리버풀,Noun,2
1061,마르셀,Noun,2
1062,마스크,Noun,2
1063,막차,Noun,2
1064,많나요,Adjective,2
1065,많은가요,Adjective,2
1066,말펜,Noun,2
1067,말펜사,Noun,2
1068,맛있는,Adjective,2
1069,맞는,Verb,2
1070,맞는지,Verb,2
1071,맞죠,Verb,2
1072,맞춰서,Verb,2
1073,매직,Noun,2
1074,맥주,Noun,2
1075,멍,Noun,2
1076,면,Noun,2
1077,모르겠네요,Verb,2
1078,모르겠어요,Verb,2
1079,모바일,Noun,2
1080,모십니다,Verb,2
1081,몬테,Noun,2
1082,몰,Verb,2
1083,몽땅,Noun,2
1084,몽마르트,Noun,2
1085,몽파르,Noun,2
1086,무,Noun,2
1087,무스,Noun,2
1088,무어인,Noun,2
1089,무제한,Noun,2
1090,묵으시는,Verb,2
1091,묶어서,Verb,2
1092,문제,Noun,2
1093,문화,Noun,2
1094,물가,Noun,2
1095,물품,Noun,2
1096,뮈렌,Noun,2
1097,미만,Noun,2
1098,미셀,Noun,2
1099,믿을만한,Verb,2
1100,밀,Noun,2
1101,바트이슐,Noun,2
1102,받고,Verb,2
1103,받습니다,Verb,2
1104,받은,Verb,2
1105,발권,Noun,2
1106,밤늦게,Adjective,2
1107,방,Noun,2
1108,버킹엄,Noun,2
