l_wordcnt.no,l_wordcnt.content,l_wordcnt.mor,l_wordcnt.cnt
541,스톱,Noun,3
542,처음,Noun,3
543,대기,Noun,3
544,주로,Noun,3
545,스폿,Noun,3
546,문제,Noun,3
547,대여,Noun,3
548,대한,Noun,3
549,워털루,Noun,3
550,보트,Noun,3
551,일일,Noun,3
552,크림,Noun,3
553,클럽,Noun,3
554,월일,Noun,3
555,건,Noun,3
556,도,Noun,3
557,웸블리,Noun,3
558,시스터스,Noun,3
559,위,Noun,3
560,시작,Noun,3
561,가능,Noun,3
562,시차,Noun,3
563,동반,Noun,3
564,주변,Noun,3
565,둘,Noun,3
566,음성,Noun,3
567,뒤,Noun,3
568,의견,Noun,3
569,타워,Noun,3
570,방문,Noun,3
571,마감,Noun,3
572,라이브,Noun,3
573,이제,Noun,3
574,가지,Noun,3
575,링크,Noun,3
576,신용카드,Noun,3
577,주요,Noun,3
578,사람,Noun,3
579,사보이,Noun,3
580,사서,Noun,3
581,별로,Noun,3
582,사항,Noun,3
583,사이,Noun,3
584,사전,Noun,3
585,리치먼드,Noun,3
586,일몰,Noun,3
587,접종,Noun,3
588,반입,Noun,3
589,테이,Noun,3
590,템즈,Noun,3
591,일반,Noun,3
592,토,Noun,3
593,루트,Noun,3
594,암스테르담,Noun,3
595,로스트,Noun,3
596,포드,Noun,3
597,반,Noun,3
598,트라팔가,Noun,3
599,박싱데이,Noun,3
600,표,Noun,3
601,모든,Noun,3
602,프라이,Noun,3
603,프로즌,Noun,3
604,프린트,Noun,3
605,어딘가,Noun,3
606,피,Noun,3
607,며칠,Noun,3
608,불가,Noun,3
609,용법,Noun,2
610,아쿠아,Noun,2
611,버거,Noun,2
612,하차,Noun,2
613,겨우,Noun,2
614,정거장,Noun,2
615,취소표,Noun,2
616,대신,Noun,2
617,자정,Noun,2
618,승강장,Noun,2
619,금요일,Noun,2
620,크로스,Noun,2
621,대학,Noun,2
622,얼스,Noun,2
623,뱅크,Noun,2
624,문,Noun,2
625,투,Noun,2
626,투데이,Noun,2
627,댓글,Noun,2
628,알버트,Noun,2
629,구,Modifier,2
630,구간,Noun,2
631,백,Noun,2
632,겉옷,Noun,2
633,현금,Noun,2
634,모던,Noun,2
635,앞,Noun,2
636,벽화,Noun,2
637,정리,Noun,2
638,금,Noun,2
639,잔액,Noun,2
640,일간,Noun,2
641,가능역,Noun,2
642,보증금,Noun,2
643,웨이,Noun,2
644,청소년,Noun,2
645,편도,Noun,2
646,편의점,Noun,2
647,선,Noun,2
648,도보,Noun,2
649,먼데이,Noun,2
650,킹스,Noun,2
651,지터,Noun,2
652,셜록,Noun,2
653,려고,Noun,2
654,위험,Noun,2
655,배,Noun,2
656,시점,Noun,2
657,시즌,Noun,2
658,독일,Noun,2
659,돈,Noun,2
660,동,Modifier,2
661,동네,Noun,2
662,유람선,Noun,2
663,유랑,Noun,2
664,폐업,Noun,2
665,유레일패스,Noun,2
666,개시,Noun,2
667,셔틀버스,Noun,2
668,필름,Noun,2
669,포르토,Noun,2
670,킹스턴,Noun,2
671,주문,Noun,2
672,갑자기,Noun,2
673,마스크,Noun,2
674,포르투,Noun,2
675,포르투갈,Noun,2
676,명소,Noun,2
677,음식,Noun,2
678,입국심사,Noun,2
679,브런치,Noun,2
680,무작정,Noun,2
681,응원,Noun,2
682,레스터,Noun,2
683,드레스코드,Noun,2
684,식사,Noun,2
685,살기,Noun,2
686,햄프턴,Noun,2
687,픽업,Noun,2
688,센트럴,Noun,2
689,디,Noun,2
690,그린,Noun,2
691,디지털,Noun,2
692,포함,Noun,2
693,이번,Noun,2
694,이비,Noun,2
695,폭염,Noun,2
696,때문,Noun,2
697,지정,Noun,2
698,일차,Noun,2
699,간,Noun,2
700,신분,Noun,2
701,신분증,Noun,2
702,라이,Noun,2
703,쥬빌리,Noun,2
704,이용문,Noun,2
705,밀라노,Noun,2
706,인원,Noun,2
707,입,Noun,2
708,무엇,Noun,2
709,각각,Noun,2
710,익스플로러,Noun,2
711,피렌체,Noun,2
712,부다페스트,Noun,2
713,가게,Noun,2
714,야간,Noun,2
715,레드,Noun,2
716,언더그라운드,Noun,2
717,체크카드,Noun,2
718,밥,Noun,2
719,체험,Noun,2
720,사,Modifier,2
721,리턴,Noun,2
722,랜드마크,Noun,2
723,실외,Noun,2
724,태그,Noun,2
725,출입국,Noun,2
726,태드,Noun,2
727,푸룬,Noun,2
728,약,Modifier,2
729,사시,Noun,2
730,심사,Noun,2
731,주의,Noun,2
732,퓨처,Noun,2
733,적,Noun,2
734,어른,Noun,2
735,해도,Noun,2
736,해당,Noun,2
737,모두,Noun,2
738,사전예약,Noun,2
739,구합,Noun,2
740,발레,Noun,2
741,부시,Noun,2
742,그,Noun,2
743,조식,Noun,2
744,나,Noun,2
745,관,Noun,2
746,초등학생,Noun,2
747,휴무,Noun,2
